DATE,TENOR,OFFER,BID
4/18/2023,9 - Month,21.8,22.3
4/18/2023,1 - Year,21.8,22.3
4/17/2023,1 - Week,20.92,21.42
4/17/2023,2 - Week,21.02,21.52
4/17/2023,1 - Month,21.2,21.7
4/17/2023,3 - Month,21.85,22.1
4/17/2023,6 - Month,21.85,22.1
4/17/2023,9 - Month,21.77,22.27
4/17/2023,1 - Year,21.78,22.28
4/14/2023,1 - Week,20.96,21.46
4/14/2023,2 - Week,21.07,21.57
4/14/2023,1 - Month,21.23,21.73
4/14/2023,3 - Month,21.87,22.12
4/14/2023,6 - Month,21.85,22.1
4/14/2023,9 - Month,21.78,22.28
4/14/2023,1 - Year,21.78,22.28
4/13/2023,1 - Week,21.01,21.51
4/13/2023,2 - Week,21.09,21.59
4/13/2023,1 - Month,21.25,21.75
4/13/2023,3 - Month,21.87,22.12
4/13/2023,6 - Month,21.85,22.1
4/13/2023,9 - Month,21.78,22.28
4/13/2023,1 - Year,21.78,22.28
4/12/2023,1 - Week,20.98,21.48
4/12/2023,2 - Week,21.09,21.59
4/12/2023,1 - Month,21.23,21.73
4/12/2023,3 - Month,21.84,22.09
4/12/2023,6 - Month,21.84,22.09
4/12/2023,9 - Month,21.8,22.3
4/12/2023,1 - Year,21.81,22.31
4/11/2023,1 - Week,20.87,21.37
4/11/2023,2 - Week,21.06,21.56
4/11/2023,1 - Month,21.22,21.72
4/11/2023,3 - Month,21.82,22.07
4/11/2023,6 - Month,21.83,22.08
4/11/2023,9 - Month,21.81,22.31
4/11/2023,1 - Year,21.82,22.32
4/10/2023,1 - Week,20.87,21.37
4/10/2023,2 - Week,21.06,21.56
4/10/2023,1 - Month,21.23,21.73
4/10/2023,3 - Month,21.82,22.07
4/10/2023,6 - Month,21.84,22.09
4/10/2023,9 - Month,21.79,22.29
4/10/2023,1 - Year,21.8,22.3
4/7/2023,1 - Week,20.91,21.41
4/7/2023,2 - Week,21.06,21.56
4/7/2023,1 - Month,21.21,21.71
4/7/2023,3 - Month,21.78,22.03
4/7/2023,6 - Month,21.82,22.07
4/7/2023,9 - Month,21.73,22.23
4/7/2023,1 - Year,21.76,22.26
4/6/2023,1 - Week,20.96,21.46
4/6/2023,2 - Week,21.06,21.56
4/6/2023,1 - Month,21.23,21.73
4/6/2023,3 - Month,21.8,22.05
4/6/2023,6 - Month,21.82,22.07
4/6/2023,9 - Month,21.75,22.25
4/6/2023,1 - Year,21.77,22.27
4/5/2023,1 - Week,20.87,21.37
4/5/2023,2 - Week,21.01,21.51
4/5/2023,1 - Month,21.17,21.67
4/5/2023,3 - Month,21.64,21.89
4/5/2023,6 - Month,21.73,21.98
4/5/2023,9 - Month,21.72,22.22
4/5/2023,1 - Year,21.74,22.24
4/4/2023,1 - Week,20.64,21.14
4/4/2023,2 - Week,21.02,21.52
4/4/2023,1 - Month,21.53,22.03
4/4/2023,3 - Month,21.99,22.24
4/4/2023,6 - Month,22.11,22.36
4/4/2023,9 - Month,22.16,22.66
4/4/2023,1 - Year,22.21,22.71
4/3/2023,1 - Week,20.12,20.62
4/3/2023,2 - Week,20.52,21.02
4/3/2023,1 - Month,21.14,21.64
4/3/2023,3 - Month,21.83,22.08
4/3/2023,6 - Month,21.94,22.19
4/3/2023,9 - Month,22,22.5
4/3/2023,1 - Year,22.04,22.54
5/31/2023,1 - Week,20.9,21.4
5/31/2023,2 - Week,20.98,21.48
5/31/2023,1 - Month,21.2,21.7
5/31/2023,3 - Month,21.94,22.19
5/31/2023,6 - Month,21.93,22.18
5/31/2023,9 - Month,21.91,22.41
5/31/2023,1 - Year,21.92,22.42
5/30/2023,1 - Week,20.89,21.39
5/30/2023,2 - Week,20.97,21.47
5/30/2023,1 - Month,21.2,21.7
5/30/2023,3 - Month,21.92,22.17
5/30/2023,6 - Month,21.92,22.17
5/30/2023,9 - Month,21.91,22.41
5/30/2023,1 - Year,21.92,22.42
5/29/2023,1 - Week,20.89,21.39
5/29/2023,2 - Week,20.96,21.46
5/29/2023,1 - Month,21.15,21.65
5/29/2023,3 - Month,21.88,22.13
5/29/2023,6 - Month,21.89,22.14
5/29/2023,9 - Month,21.87,22.37
5/29/2023,1 - Year,21.88,22.38
5/26/2023,1 - Week,20.87,21.37
5/26/2023,2 - Week,20.94,21.44
5/26/2023,1 - Month,21.12,21.62
5/26/2023,3 - Month,21.84,22.09
5/26/2023,6 - Month,21.87,22.12
5/26/2023,9 - Month,21.86,22.36
5/26/2023,1 - Year,21.88,22.38
5/25/2023,1 - Week,20.88,21.38
5/25/2023,2 - Week,20.95,21.45
5/25/2023,1 - Month,21.12,21.62
5/25/2023,3 - Month,21.83,22.08
5/25/2023,6 - Month,21.86,22.11
5/25/2023,9 - Month,21.86,22.36
5/25/2023,1 - Year,21.88,22.38
5/24/2023,1 - Week,20.88,21.38
5/24/2023,2 - Week,20.94,21.44
5/24/2023,1 - Month,21.11,21.61
5/24/2023,3 - Month,21.83,22.08
5/24/2023,6 - Month,21.84,22.09
5/24/2023,9 - Month,21.86,22.36
5/24/2023,1 - Year,21.88,22.38
5/23/2023,1 - Week,20.89,21.39
5/23/2023,2 - Week,20.94,21.44
5/23/2023,1 - Month,21.04,21.54
5/23/2023,3 - Month,21.81,22.06
5/23/2023,6 - Month,21.83,22.08
5/23/2023,9 - Month,21.85,22.35
5/23/2023,1 - Year,21.86,22.36
5/22/2023,1 - Week,20.87,21.37
5/22/2023,2 - Week,20.93,21.43
5/22/2023,1 - Month,21.04,21.54
5/22/2023,3 - Month,21.8,22.05
5/22/2023,6 - Month,21.83,22.08
5/22/2023,9 - Month,21.85,22.35
5/22/2023,1 - Year,21.86,22.36
5/19/2023,1 - Week,20.68,21.18
5/19/2023,2 - Week,20.79,21.29
5/19/2023,1 - Month,20.96,21.46
5/19/2023,3 - Month,21.79,22.04
5/19/2023,6 - Month,21.81,22.06
5/19/2023,9 - Month,21.82,22.32
5/19/2023,1 - Year,21.83,22.33
5/18/2023,1 - Week,20.52,21.02
5/18/2023,2 - Week,20.7,21.2
5/18/2023,1 - Month,20.93,21.43
5/18/2023,3 - Month,21.77,22.02
5/18/2023,6 - Month,21.8,22.05
5/18/2023,9 - Month,21.81,22.31
5/18/2023,1 - Year,21.84,22.34
5/17/2023,1 - Week,20.5,21
5/17/2023,2 - Week,20.69,21.19
5/17/2023,1 - Month,20.92,21.42
5/17/2023,3 - Month,21.76,22.01
5/17/2023,6 - Month,21.79,22.04
5/17/2023,9 - Month,21.81,22.31
5/17/2023,1 - Year,21.83,22.33
5/16/2023,1 - Week,20.49,20.99
5/16/2023,2 - Week,20.67,21.17
5/16/2023,1 - Month,20.91,21.41
5/16/2023,3 - Month,21.74,21.99
5/16/2023,6 - Month,21.78,22.03
5/16/2023,9 - Month,21.82,22.32
5/16/2023,1 - Year,21.84,22.34
5/15/2023,1 - Week,20.51,21.01
5/15/2023,2 - Week,20.67,21.17
5/15/2023,1 - Month,20.89,21.39
5/15/2023,3 - Month,21.72,21.97
5/15/2023,6 - Month,21.8,22.05
5/15/2023,9 - Month,21.83,22.33
5/15/2023,1 - Year,21.84,22.34
5/12/2023,1 - Week,20.51,21.01
5/12/2023,2 - Week,20.65,21.15
5/12/2023,1 - Month,20.89,21.39
5/12/2023,3 - Month,21.74,21.99
5/12/2023,6 - Month,21.8,22.05
5/12/2023,9 - Month,21.83,22.33
5/12/2023,1 - Year,21.85,22.35
5/11/2023,1 - Week,20.59,21.09
5/11/2023,2 - Week,20.74,21.24
5/11/2023,1 - Month,20.95,21.45
5/11/2023,3 - Month,21.77,22.02
5/11/2023,6 - Month,21.83,22.08
5/11/2023,9 - Month,21.85,22.35
5/11/2023,1 - Year,21.88,22.38
5/10/2023,1 - Week,20.54,21.04
5/10/2023,2 - Week,20.75,21.25
5/10/2023,1 - Month,20.95,21.45
5/10/2023,3 - Month,21.79,22.04
5/10/2023,6 - Month,21.83,22.08
5/10/2023,9 - Month,21.84,22.34
5/10/2023,1 - Year,21.86,22.36
5/9/2023,1 - Week,20.6,21.1
5/9/2023,2 - Week,20.77,21.27
5/9/2023,1 - Month,20.99,21.49
5/9/2023,3 - Month,21.81,22.06
5/9/2023,6 - Month,21.83,22.08
5/9/2023,9 - Month,21.85,22.35
5/9/2023,1 - Year,21.86,22.36
5/8/2023,1 - Week,20.69,21.19
5/8/2023,2 - Week,20.81,21.31
5/8/2023,1 - Month,21.02,21.52
5/8/2023,3 - Month,21.8,22.05
5/8/2023,6 - Month,21.82,22.07
5/8/2023,9 - Month,21.84,22.34
5/8/2023,1 - Year,21.85,22.35
5/5/2023,1 - Week,20.82,21.32
5/5/2023,2 - Week,20.88,21.38
5/5/2023,1 - Month,21.04,21.54
5/5/2023,3 - Month,21.82,22.07
5/5/2023,6 - Month,21.83,22.08
5/5/2023,9 - Month,21.84,22.34
5/5/2023,1 - Year,21.84,22.34
5/4/2023,1 - Week,20.87,21.37
5/4/2023,2 - Week,20.93,21.43
5/4/2023,1 - Month,21.05,21.55
5/4/2023,3 - Month,21.82,22.07
5/4/2023,6 - Month,21.83,22.08
5/4/2023,9 - Month,21.83,22.33
5/4/2023,1 - Year,21.84,22.34
5/3/2023,1 - Week,20.83,21.33
5/3/2023,2 - Week,20.9,21.4
5/3/2023,1 - Month,21.03,21.53
5/3/2023,3 - Month,21.81,22.06
5/3/2023,6 - Month,21.82,22.07
5/3/2023,9 - Month,21.8,22.3
5/3/2023,1 - Year,21.81,22.31
5/2/2023,1 - Week,20.86,21.36
5/2/2023,2 - Week,20.91,21.41
5/2/2023,1 - Month,21.04,21.54
5/2/2023,3 - Month,21.8,22.05
5/2/2023,6 - Month,21.81,22.06
5/2/2023,9 - Month,21.8,22.3
5/2/2023,1 - Year,21.81,22.31
6/27/2023,1 - Week,21.89,22.39
6/27/2023,2 - Week,21.97,22.47
6/27/2023,1 - Month,22.04,22.54
6/27/2023,3 - Month,22.66,22.91
6/27/2023,6 - Month,22.72,22.97
6/27/2023,9 - Month,22.75,23.25
6/27/2023,1 - Year,22.77,23.27
6/26/2023,1 - Week,20.6,21.1
6/26/2023,2 - Week,20.79,21.29
6/26/2023,1 - Month,20.99,21.49
6/26/2023,3 - Month,21.79,22.04
6/26/2023,6 - Month,21.84,22.09
6/26/2023,9 - Month,21.86,22.36
6/26/2023,1 - Year,21.87,22.37
6/23/2023,1 - Week,20.75,21.25
6/23/2023,2 - Week,20.87,21.37
6/23/2023,1 - Month,21.12,21.62
6/23/2023,3 - Month,21.84,22.09
6/23/2023,6 - Month,21.88,22.13
6/23/2023,9 - Month,21.88,22.38
6/23/2023,1 - Year,21.89,22.39
6/22/2023,1 - Week,20.79,21.29
6/22/2023,2 - Week,20.93,21.43
6/22/2023,1 - Month,21.18,21.68
6/22/2023,3 - Month,21.88,22.13
6/22/2023,6 - Month,21.9,22.15
6/22/2023,9 - Month,21.89,22.39
6/22/2023,1 - Year,21.9,22.4
6/21/2023,1 - Week,20.76,21.26
6/21/2023,2 - Week,20.88,21.38
6/21/2023,1 - Month,21.15,21.65
6/21/2023,3 - Month,21.87,22.12
6/21/2023,6 - Month,21.89,22.14
6/21/2023,9 - Month,21.88,22.38
6/21/2023,1 - Year,21.89,22.39
6/20/2023,1 - Week,20.96,21.46
6/20/2023,2 - Week,21.02,21.52
6/20/2023,1 - Month,21.17,21.67
6/20/2023,3 - Month,21.88,22.13
6/20/2023,6 - Month,21.91,22.16
6/20/2023,9 - Month,21.9,22.4
6/20/2023,1 - Year,21.91,22.41
6/19/2023,1 - Week,20.86,21.36
6/19/2023,2 - Week,20.96,21.46
6/19/2023,1 - Month,21.15,21.65
6/19/2023,3 - Month,21.85,22.1
6/19/2023,6 - Month,21.88,22.13
6/19/2023,9 - Month,21.86,22.36
6/19/2023,1 - Year,21.86,22.36
6/16/2023,1 - Week,20.82,21.32
6/16/2023,2 - Week,20.93,21.43
6/16/2023,1 - Month,21.08,21.58
6/16/2023,3 - Month,21.82,22.07
6/16/2023,6 - Month,21.87,22.12
6/16/2023,9 - Month,21.84,22.34
6/16/2023,1 - Year,21.86,22.36
6/15/2023,1 - Week,20.82,21.32
6/15/2023,2 - Week,20.93,21.43
6/15/2023,1 - Month,21.08,21.58
6/15/2023,3 - Month,21.82,22.07
6/15/2023,6 - Month,21.87,22.12
6/15/2023,9 - Month,21.84,22.34
6/15/2023,1 - Year,21.86,22.36
6/14/2023,1 - Week,20.74,21.24
6/14/2023,2 - Week,20.88,21.38
6/14/2023,1 - Month,21.09,21.59
6/14/2023,3 - Month,21.78,22.03
6/14/2023,6 - Month,21.83,22.08
6/14/2023,9 - Month,21.84,22.34
6/14/2023,1 - Year,21.86,22.36
6/13/2023,1 - Week,20.77,21.27
6/13/2023,2 - Week,20.91,21.41
6/13/2023,1 - Month,21.08,21.58
6/13/2023,3 - Month,21.81,22.06
6/13/2023,6 - Month,21.86,22.11
6/13/2023,9 - Month,21.86,22.36
6/13/2023,1 - Year,21.87,22.37
6/12/2023,1 - Week,20.84,21.34
6/12/2023,2 - Week,20.97,21.47
6/12/2023,1 - Month,21.1,21.6
6/12/2023,3 - Month,21.83,22.08
6/12/2023,6 - Month,21.88,22.13
6/12/2023,9 - Month,21.89,22.39
6/12/2023,1 - Year,21.9,22.4
6/9/2023,1 - Week,20.78,21.28
6/9/2023,2 - Week,20.91,21.41
6/9/2023,1 - Month,21.07,21.57
6/9/2023,3 - Month,21.8,22.05
6/9/2023,6 - Month,21.87,22.12
6/9/2023,9 - Month,21.88,22.38
6/9/2023,1 - Year,21.89,22.39
6/8/2023,1 - Week,20.68,21.18
6/8/2023,2 - Week,20.84,21.34
6/8/2023,1 - Month,21.03,21.53
6/8/2023,3 - Month,21.77,22.02
6/8/2023,6 - Month,21.85,22.1
6/8/2023,9 - Month,21.88,22.38
6/8/2023,1 - Year,21.89,22.39
6/7/2023,1 - Week,20.67,21.17
6/7/2023,2 - Week,20.82,21.32
6/7/2023,1 - Month,21.05,21.55
6/7/2023,3 - Month,21.75,22
6/7/2023,6 - Month,21.84,22.09
6/7/2023,9 - Month,21.86,22.36
6/7/2023,1 - Year,21.88,22.38
6/6/2023,1 - Week,20.68,21.18
6/6/2023,2 - Week,20.83,21.33
6/6/2023,1 - Month,21.04,21.54
6/6/2023,3 - Month,21.77,22.02
6/6/2023,6 - Month,21.82,22.07
6/6/2023,9 - Month,21.85,22.35
6/6/2023,1 - Year,21.86,22.36
6/5/2023,1 - Week,20.65,21.15
6/5/2023,2 - Week,20.81,21.31
6/5/2023,1 - Month,21.06,21.56
6/5/2023,3 - Month,21.84,22.09
6/5/2023,6 - Month,21.89,22.14
6/5/2023,9 - Month,21.9,22.4
6/5/2023,1 - Year,21.91,22.41
6/2/2023,1 - Week,20.81,21.31
6/2/2023,2 - Week,20.91,21.41
6/2/2023,1 - Month,21.17,21.67
6/2/2023,3 - Month,21.89,22.14
6/2/2023,6 - Month,21.92,22.17
6/2/2023,9 - Month,21.92,22.42
6/2/2023,1 - Year,21.92,22.42
6/1/2023,1 - Week,20.9,21.4
6/1/2023,2 - Week,20.99,21.49
6/1/2023,1 - Month,21.2,21.7
6/1/2023,3 - Month,21.92,22.17
6/1/2023,6 - Month,21.92,22.17
6/1/2023,9 - Month,21.92,22.42
6/1/2023,1 - Year,21.93,22.43
7/31/2023,1 - Week,21.58,22.08
7/31/2023,2 - Week,21.88,22.38
7/31/2023,1 - Month,22.27,22.77
7/31/2023,3 - Month,22.89,23.14
7/31/2023,6 - Month,22.97,23.22
7/31/2023,9 - Month,22.99,23.49
7/31/2023,1 - Year,22.99,23.49
7/27/2023,1 - Week,21.47,21.97
7/27/2023,2 - Week,21.77,22.27
7/27/2023,1 - Month,22.21,22.71
7/27/2023,3 - Month,22.87,23.12
7/27/2023,6 - Month,22.92,23.17
7/27/2023,9 - Month,22.93,23.43
7/27/2023,1 - Year,22.93,23.43
7/26/2023,1 - Week,21.34,21.84
7/26/2023,2 - Week,21.68,22.18
7/26/2023,1 - Month,22.19,22.69
7/26/2023,3 - Month,22.87,23.12
7/26/2023,6 - Month,22.94,23.19
7/26/2023,9 - Month,22.93,23.43
7/26/2023,1 - Year,22.94,23.44
7/25/2023,1 - Week,21.4,21.9
7/25/2023,2 - Week,21.71,22.21
7/25/2023,1 - Month,22.15,22.65
7/25/2023,3 - Month,22.84,23.09
7/25/2023,6 - Month,22.9,23.15
7/25/2023,9 - Month,22.92,23.42
7/25/2023,1 - Year,22.92,23.42
7/24/2023,1 - Week,21.39,21.89
7/24/2023,2 - Week,21.67,22.17
7/24/2023,1 - Month,22.13,22.63
7/24/2023,3 - Month,22.81,23.06
7/24/2023,6 - Month,22.89,23.14
7/24/2023,9 - Month,22.9,23.4
7/24/2023,1 - Year,22.91,23.41
7/21/2023,1 - Week,21.46,21.96
7/21/2023,2 - Week,21.72,22.22
7/21/2023,1 - Month,22.08,22.58
7/21/2023,3 - Month,22.78,23.03
7/21/2023,6 - Month,22.88,23.13
7/21/2023,9 - Month,22.89,23.39
7/21/2023,1 - Year,22.91,23.41
7/20/2023,1 - Week,21.55,22.05
7/20/2023,2 - Week,21.78,22.28
7/20/2023,1 - Month,22.09,22.59
7/20/2023,3 - Month,22.73,22.98
7/20/2023,6 - Month,22.83,23.08
7/20/2023,9 - Month,22.84,23.34
7/20/2023,1 - Year,22.86,23.36
7/19/2023,1 - Week,21.57,22.07
7/19/2023,2 - Week,21.76,22.26
7/19/2023,1 - Month,22.04,22.54
7/19/2023,3 - Month,22.59,22.84
7/19/2023,6 - Month,22.76,23.01
7/19/2023,9 - Month,22.77,23.27
7/19/2023,1 - Year,22.83,23.33
7/18/2023,1 - Week,21.56,22.06
7/18/2023,2 - Week,21.67,22.17
7/18/2023,1 - Month,21.93,22.43
7/18/2023,3 - Month,22.45,22.7
7/18/2023,6 - Month,22.66,22.91
7/18/2023,9 - Month,22.67,23.17
7/18/2023,1 - Year,22.68,23.18
7/17/2023,1 - Week,21.53,22.03
7/17/2023,2 - Week,21.65,22.15
7/17/2023,1 - Month,21.92,22.42
7/17/2023,3 - Month,22.39,22.64
7/17/2023,6 - Month,22.65,22.9
7/17/2023,9 - Month,22.67,23.17
7/17/2023,1 - Year,22.69,23.19
7/14/2023,1 - Week,21.58,22.08
7/14/2023,2 - Week,21.68,22.18
7/14/2023,1 - Month,21.9,22.4
7/14/2023,3 - Month,22.36,22.61
7/14/2023,6 - Month,22.64,22.89
7/14/2023,9 - Month,22.65,23.15
7/14/2023,1 - Year,22.65,23.15
7/13/2023,1 - Week,21.69,22.19
7/13/2023,2 - Week,21.77,22.27
7/13/2023,1 - Month,21.93,22.43
7/13/2023,3 - Month,22.44,22.69
7/13/2023,6 - Month,22.7,22.95
7/13/2023,9 - Month,22.7,23.2
7/13/2023,1 - Year,22.69,23.19
7/12/2023,1 - Week,21.69,22.19
7/12/2023,2 - Week,21.8,22.3
7/12/2023,1 - Month,22,22.5
7/12/2023,3 - Month,22.67,22.92
7/12/2023,6 - Month,22.77,23.02
7/12/2023,9 - Month,22.78,23.28
7/12/2023,1 - Year,22.8,23.3
7/11/2023,1 - Week,21.67,22.17
7/11/2023,2 - Week,21.79,22.29
7/11/2023,1 - Month,22.01,22.51
7/11/2023,3 - Month,22.64,22.89
7/11/2023,6 - Month,22.74,22.99
7/11/2023,9 - Month,22.78,23.28
7/11/2023,1 - Year,22.8,23.3
7/10/2023,1 - Week,21.68,22.18
7/10/2023,2 - Week,21.81,22.31
7/10/2023,1 - Month,22.03,22.53
7/10/2023,3 - Month,22.65,22.9
7/10/2023,6 - Month,22.73,22.98
7/10/2023,9 - Month,22.77,23.27
7/10/2023,1 - Year,22.79,23.29
7/7/2023,1 - Week,21.72,22.22
7/7/2023,2 - Week,21.81,22.31
7/7/2023,1 - Month,22.08,22.58
7/7/2023,3 - Month,22.64,22.89
